issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_071,SBI_SimplyCLIC_071,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_072,SBI_SimplyCLIC_072,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_073,SBI_SimplyCLIC_073,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_074,SBI_SimplyCLIC_074,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_075,SBI_SimplyCLIC_075,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_076,SBI_SimplyCLIC_076,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_077,SBI_SimplyCLIC_077,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_078,SBI_SimplyCLIC_078,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_079,SBI_SimplyCLIC_079,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_080,SBI_SimplyCLIC_080,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_081,SBI_SimplyCLIC_081,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_082,SBI_SimplyCLIC_082,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_083,SBI_SimplyCLIC_083,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_084,SBI_SimplyCLIC_084,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_085,SBI_SimplyCLIC_085,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_086,SBI_SimplyCLIC_086,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_087,SBI_SimplyCLIC_087,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_088,SBI_SimplyCLIC_088,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_089,SBI_SimplyCLIC_089,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_090,SBI_SimplyCLIC_090,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_091,SBI_SimplyCLIC_091,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_092,SBI_SimplyCLIC_092,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_093,SBI_SimplyCLIC_093,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_094,SBI_SimplyCLIC_094,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_095,SBI_SimplyCLIC_095,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_096,SBI_SimplyCLIC_096,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_097,SBI_SimplyCLIC_097,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_098,SBI_SimplyCLIC_098,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_099,SBI_SimplyCLIC_099,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_100,SBI_SimplyCLIC_100,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_101,SBI_SimplyCLIC_101,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus points on utility bills,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_102,SBI_SimplyCLIC_102,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_103,SBI_SimplyCLIC_103,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_104,SBI_SimplyCLIC_104,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_105,SBI_SimplyCLIC_105,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_106,SBI_SimplyCLIC_106,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_107,SBI_SimplyCLIC_107,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_108,SBI_SimplyCLIC_108,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_109,SBI_SimplyCLIC_109,True
